Name, X, Y, Radius, Brightness
0, 3001, 165, 3, 0.4980392156862745
1, 1907, 379, 4, 0.6
2, 1486, 700, 2, 0.7647058823529411
3, 1384, 1015, 2, 0.5058823529411764
4, 1326, 1044, 3, 0.615686274509804
5, 2808, 1099, 1, 0.6470588235294118
6, 2220, 1183, 3, 0.7490196078431373
7, 2123, 1213, 3, 0.3803921568627451
8, 1500, 1376, 3, 0.6392156862745098
9, 865, 1627, 3, 0.39215686274509803
10, 2431, 1656, 3, 0.5058823529411764
11, 1403, 1789, 3, 0.3803921568627451
12, 1182, 1903, 3, 0.39215686274509803
13, 1869, 2022, 4, 0.8666666666666667
14, 2485, 2051, 1, 0.7215686274509804
15, 1657, 2216, 4, 0.4117647058823529
16, 2225, 2273, 4, 0.7294117647058823
17, 2139, 2507, 3, 0.5176470588235295
18, 1421, 2584, 2, 0.5294117647058824
19, 2309, 2780, 5, 0.7333333333333333
20, 2438, 3021, 4, 0.8470588235294118
21, 2840, 3231, 5, 0.615686274509804
22, 322, 3277, 4, 0.6313725490196078
23, 1910, 3363, 2, 0.6666666666666666
24, 1300, 3540, 5, 0.43529411764705883
25, 1393, 3735, 2, 0.7137254901960784
