x, y ,b, r
2062, 567, 3, 0.9686274509803922
1267, 887, 3, 0.3215686274509804
1672, 923, 3, 0.25882352941176473
1596, 1233, 3, 0.2784313725490196
1541, 1267, 2, 0.5529411764705883
2450, 1307, 3, 0.788235294117647
2352, 1346, 3, 0.9058823529411765
1553, 1486, 1, 0.44313725490196076
1735, 1570, 3, 0.4117647058823529
471, 1714, 1, 0.5058823529411764
2718, 1760, 4, 0.3803921568627451
180, 1801, 2, 0.5529411764705883
1138, 1871, 4, 0.4196078431372549
1672, 1983, 3, 0.4
1462, 2113, 3, 0.43137254901960786
2817, 2162, 1, 0.6549019607843137
2165, 2181, 4, 0.43137254901960786
1964, 2394, 4, 0.5176470588235295
2565, 2414, 4, 0.5490196078431373
2497, 2664, 3, 0.4
649, 2753, 2, 0.7137254901960784
1755, 2787, 2, 0.40784313725490196
2709, 2942, 5, 0.8235294117647058
2875, 3192, 5, 0.4549019607843137
718, 3553, 4, 0.7411764705882353
1717, 3796, 5, 0.6392156862745098
1827, 3999, 2, 0.8235294117647058
