x, y ,b, r
518, 19, 3, 0.5843137254901961
1459, 23, 1, 0.34509803921568627
217, 48, 2, 0.1568627450980392
700, 52, 2, 0.1568627450980392
1854, 52, 2, 0.14901960784313725
323, 63, 2, 0.1568627450980392
207, 67, 1, 0.44313725490196076
265, 74, 1, 0.35294117647058826
392, 84, 4, 0.1568627450980392
690, 89, 2, 0.1450980392156863
1191, 89, 1, 0.27058823529411763
711, 116, 1, 0.26666666666666666
797, 96, 2, 0.1411764705882353
1103, 117, 4, 0.7215686274509804
1824, 127, 1, 0.13725490196078433
1706, 118, 1, 0.12941176470588237
1825, 161, 2, 0.14901960784313725
1882, 146, 1, 0.29411764705882354
103, 152, 2, 0.13725490196078433
275, 163, 3, 0.23529411764705882
778, 157, 5, 0.14901960784313725
1582, 158, 2, 0.1450980392156863
1793, 158, 2, 0.1450980392156863
1872, 162, 2, 0.12941176470588237
1778, 159, 2, 0.15294117647058825
247, 167, 2, 0.15294117647058825
1749, 172, 3, 0.15294117647058825
1102, 185, 3, 0.3254901960784314
1267, 198, 2, 0.37254901960784315
486, 245, 2, 0.1450980392156863
658, 262, 5, 0.16470588235294117
298, 266, 3, 0.1568627450980392
1614, 266, 2, 0.14901960784313725
1431, 277, 2, 0.14901960784313725
523, 286, 3, 0.19215686274509805
963, 299, 4, 0.5019607843137255
899, 300, 2, 0.13333333333333333
1822, 333, 2, 0.15294117647058825
1226, 324, 2, 0.13725490196078433
732, 333, 2, 0.17647058823529413
278, 339, 1, 0.4588235294117647
1378, 344, 3, 0.1568627450980392
256, 355, 1, 0.1411764705882353
453, 358, 2, 0.1450980392156863
78, 376, 1, 0.13725490196078433
1075, 397, 2, 0.1568627450980392
662, 401, 1, 0.13725490196078433
1736, 415, 2, 0.15294117647058825
912, 422, 4, 0.2
1844, 441, 2, 0.16470588235294117
1503, 443, 5, 0.17647058823529413
607, 447, 2, 0.13725490196078433
1842, 475, 2, 0.20392156862745098
534, 471, 2, 0.1803921568627451
1591, 484, 2, 0.13725490196078433
39, 486, 2, 0.13725490196078433
302, 486, 2, 0.1568627450980392
895, 489, 2, 0.13725490196078433
1470, 556, 2, 0.14901960784313725
991, 560, 4, 0.41568627450980394
134, 573, 2, 0.16470588235294117
1461, 580, 2, 0.1568627450980392
986, 589, 3, 0.27058823529411763
598, 596, 2, 0.1568627450980392
585, 609, 3, 0.49019607843137253
1193, 628, 2, 0.13725490196078433
724, 632, 2, 0.1450980392156863
425, 635, 1, 0.15294117647058825
161, 636, 2, 0.1450980392156863
354, 653, 2, 0.1843137254901961
1606, 681, 2, 0.22745098039215686
126, 674, 1, 0.1411764705882353
1223, 703, 2, 0.15294117647058825
901, 712, 2, 0.13333333333333333
1568, 718, 1, 0.15294117647058825
1059, 746, 2, 0.15294117647058825
1110, 736, 1, 0.4980392156862745
1542, 744, 1, 0.3843137254901961
1068, 770, 2, 0.12941176470588237
207, 755, 2, 0.17254901960784313
1219, 766, 5, 0.21176470588235294
1670, 767, 2, 0.16470588235294117
1090, 800, 1, 0.5254901960784314
1892, 789, 2, 0.1450980392156863
767, 800, 2, 0.15294117647058825
389, 835, 2, 0.15294117647058825
777, 840, 3, 0.5725490196078431
234, 865, 1, 0.1411764705882353
1384, 868, 2, 0.1450980392156863
441, 871, 3, 0.1607843137254902
1158, 902, 2, 0.17647058823529413
74, 895, 3, 0.15294117647058825
360, 900, 1, 0.1411764705882353
1315, 911, 3, 0.15294117647058825
478, 924, 5, 0.1568627450980392
1638, 934, 2, 0.1568627450980392
1141, 942, 3, 0.1607843137254902
1199, 964, 2, 0.13333333333333333
364, 966, 2, 0.1450980392156863
192, 975, 2, 0.2
344, 978, 3, 0.15294117647058825
1070, 993, 1, 0.12941176470588237
711, 997, 2, 0.15294117647058825
1422, 1003, 2, 0.16470588235294117
526, 1006, 5, 0.20784313725490197
281, 1014, 2, 0.13725490196078433
1546, 1015, 5, 0.23529411764705882
372, 1047, 2, 0.15294117647058825
674, 1051, 2, 0.1607843137254902
1356, 1034, 2, 0.13725490196078433
1813, 1056, 2, 0.2235294117647059
368, 1059, 2, 0.21568627450980393
1218, 1070, 2, 0.2196078431372549
162, 1078, 1, 0.17647058823529413
1296, 1082, 1, 0.13725490196078433
1185, 1097, 1, 0.596078431372549
1031, 1109, 2, 0.1411764705882353
903, 1115, 2, 0.1607843137254902
1912, 1129, 2, 0.23529411764705882
1564, 1132, 2, 0.13333333333333333
1892, 1138, 5, 0.29411764705882354
883, 1145, 4, 0.1607843137254902
1236, 1146, 2, 0.3333333333333333
226, 1149, 2, 0.1568627450980392
1219, 1151, 1, 0.13725490196078433
585, 1163, 2, 0.13725490196078433
1838, 1168, 2, 0.12549019607843137
1492, 1176, 1, 0.13725490196078433
529, 1178, 1, 0.5215686274509804
753, 1179, 2, 0.1450980392156863
1456, 1183, 4, 0.1607843137254902
528, 1198, 2, 0.14901960784313725
1089, 1189, 1, 0.6705882352941176
