x, y ,b, r
2062, 567, 3, 0.996078431372549
1268, 886, 2, 0.8431372549019608
1671, 923, 2, 0.30980392156862746
1596, 1234, 3, 0.3058823529411765
1541, 1267, 3, 0.35294117647058826
2449, 1308, 4, 0.3803921568627451
2352, 1346, 3, 0.9607843137254902
1735, 1569, 3, 0.7098039215686275
2718, 1760, 4, 0.3568627450980392
180, 1802, 2, 0.3058823529411765
1138, 1871, 4, 0.4
1672, 1983, 3, 0.40784313725490196
1462, 2113, 3, 0.403921568627451
2817, 2162, 1, 0.6823529411764706
2165, 2181, 4, 0.4549019607843137
1964, 2394, 5, 0.5058823529411764
2565, 2414, 4, 0.5137254901960784
2497, 2664, 3, 0.4
649, 2753, 2, 0.7294117647058823
1756, 2787, 2, 0.4549019607843137
2709, 2942, 5, 0.8274509803921568
2875, 3192, 5, 0.45098039215686275
718, 3553, 4, 0.7725490196078432
1717, 3796, 5, 0.6470588235294118
1827, 3999, 2, 0.803921568627451
